"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.235596583E0,8.479866028E-1,3.511248322E0,8.912466431E0
3.245643583E0,8.629554749E-1,3.455115051E0,9.050329742E0
3.255690583E0,8.493338013E-1,3.386707306E0,9.219777374E0
3.265736583E0,8.909472656E-1,3.274740143E0,9.315278778E0
3.275783583E0,9.851014709E-1,3.260370026E0,9.423204346E0
3.285829583E0,1.007405090E0,3.343896332E0,9.531728668E0
3.295876583E0,9.324110413E-1,3.394640808E0,9.443711700E0
3.305922583E0,8.647517395E-1,3.371738434E0,9.192983093E0
3.315969583E0,7.688012695E-1,3.380570068E0,8.938811646E0
3.326015583E0,6.652166748E-1,3.418291626E0,8.771160278E0
3.336062583E0,6.367758179E-1,3.456761627E0,8.672365723E0
3.346109583E0,7.717950439E-1,3.491639099E0,8.791068878E0
3.356155583E0,8.818162537E-1,3.535647583E0,9.157955933E0
3.366202583E0,8.467890930E-1,3.545077972E0,9.414522400E0
3.376248583E0,7.180567932E-1,3.437601471E0,9.513915710E0
3.386295583E0,5.429209900E-1,3.287763062E0,9.435778198E0
3.396341583E0,4.764591980E-1,3.184178467E0,9.377249908E0
3.406388583E0,4.601431274E-1,3.132835236E0,9.357940063E0
3.416435583E0,4.837939453E-1,3.195405121E0,9.433682556E0
3.426481583E0,5.477110291E-1,3.275189209E0,9.539213104E0
3.436528583E0,6.423143005E-1,3.331023102E0,9.533225555E0
3.446574583E0,6.017486572E-1,3.337310028E0,9.430239716E0
3.456621583E0,5.104385376E-1,3.304378510E0,9.189540253E0
3.466667583E0,4.333488464E-1,3.303330688E0,8.934021606E0
3.476714583E0,4.492158508E-1,3.343147888E0,8.867260437E0
3.486761583E0,5.207670593E-1,3.378175049E0,9.002878418E0
3.496807583E0,6.280938721E-1,3.356919250E0,9.204209747E0
3.506854583E0,6.315367126E-1,3.330274658E0,9.365574188E0
3.516900583E0,5.375321960E-1,3.260370026E0,9.384884033E0
3.526947583E0,4.426295471E-1,3.184926910E0,9.198222198E0
3.536993583E0,3.929328918E-1,3.184328156E0,8.980874176E0
3.547040583E0,4.099974060E-1,3.233575745E0,8.875044250E0
3.557086583E0,5.200186157E-1,3.308719482E0,8.985065460E0
3.567133583E0,6.524931335E-1,3.378923492E0,9.158704376E0
3.577180583E0,8.219407654E-1,3.431763611E0,9.393715668E0
3.587226583E0,8.623567200E-1,3.441194000E0,9.475894775E0
3.597273583E0,8.105644226E-1,3.425925751E0,9.315129089E0
3.607319583E0,7.038363647E-1,3.407214661E0,9.169182587E0
3.617366583E0,6.051914978E-1,3.355422363E0,9.057963867E0
3.627412583E0,6.156697083E-1,3.319497070E0,9.040001221E0
3.637459583E0,6.830296326E-1,3.339106293E0,9.160500641E0
3.647506583E0,7.137158203E-1,3.383114777E0,9.228159943E0
3.657552583E0,7.186555481E-1,3.466491394E0,9.230554962E0
3.667599583E0,6.797364807E-1,3.497776337E0,9.100774841E0
3.677645583E0,6.710545349E-1,3.475772095E0,8.986562347E0
3.687692583E0,6.906637573E-1,3.451522522E0,8.986262970E0
3.697738583E0,6.411167908E-1,3.439248047E0,9.002429352E0
3.707785583E0,6.200106812E-1,3.436853027E0,8.992549896E0
3.717831583E0,6.306385803E-1,3.414399719E0,9.054970093E0
3.727878583E0,5.966592407E-1,3.356170807E0,9.156908112E0
3.737925583E0,6.265969849E-1,3.360212402E0,9.283544769E0
3.747971583E0,6.352789307E-1,3.358565826E0,9.279652863E0
3.758018583E0,6.259982300E-1,3.338357849E0,9.297914886E0
3.768064583E0,6.593788147E-1,3.293002167E0,9.429790649E0
3.778111583E0,6.765930176E-1,3.285517731E0,9.486223297E0
3.788157583E0,6.342311096E-1,3.299438782E0,9.366472321E0
3.798204583E0,6.381230164E-1,3.308120728E0,9.263187103E0
3.808251583E0,6.117778015E-1,3.305576019E0,9.181457062E0
3.818297583E0,5.408253479E-1,3.334166565E0,9.063502350E0
3.828344583E0,4.954696655E-1,3.342998199E0,8.945547638E0
3.838390583E0,4.884342957E-1,3.371588745E0,8.911717987E0
3.848437583E0,5.092410278E-1,3.385360107E0,8.883277130E0
3.858483583E0,5.408253479E-1,3.405717773E0,8.946296082E0
3.868530583E0,5.860313416E-1,3.408112793E0,9.073381805E0
3.878576583E0,6.472540283E-1,3.386258240E0,9.220376129E0
3.888623583E0,6.652166748E-1,3.342698822E0,9.479187927E0
3.898670583E0,7.059320068E-1,3.304677887E0,9.579179993E0
3.908716583E0,7.310797119E-1,3.319347382E0,9.543404388E0
3.918763583E0,7.012916565E-1,3.368445282E0,9.369466095E0
3.928809583E0,6.575825500E-1,3.429368591E0,9.097781067E0
3.938856583E0,5.834866333E-1,3.435805206E0,8.968000946E0
3.948902583E0,5.498066711E-1,3.418591003E0,8.938063202E0
3.958949583E0,5.065466309E-1,3.368894348E0,8.905580750E0
3.968995583E0,5.227130127E-1,3.364104309E0,8.931776276E0
3.979042583E0,6.128256226E-1,3.379671936E0,8.990454254E0
3.989089583E0,6.459068298E-1,3.406017151E0,9.163793793E0
3.999135583E0,6.671626282E-1,3.368145905E0,9.272916870E0
4.009182583E0,6.188131714E-1,3.316652985E0,9.277706909E0
4.019228583E0,5.863307190E-1,3.303480377E0,9.144783325E0
4.029275583E0,5.373825073E-1,3.304677887E0,9.022188263E0
4.039321583E0,5.240602112E-1,3.310815125E0,9.048982544E0
4.049368583E0,5.484594727E-1,3.301235046E0,9.163793793E0
4.059414583E0,6.110293579E-1,3.276835785E0,9.283245392E0
4.069461583E0,6.236032104E-1,3.291804657E0,9.337732086E0
4.079508583E0,6.282435608E-1,3.303330688E0,9.332492981E0
4.089554583E0,5.989045715E-1,3.302582245E0,9.357191620E0
4.099601583E0,5.745053101E-1,3.284020844E0,9.376950531E0
4.109647583E0,5.610333252E-1,3.274740143E0,9.362131348E0
4.119694583E0,5.580395508E-1,3.285068665E0,9.302555237E0
4.129740583E0,5.652246094E-1,3.325933685E0,9.195378113E0
4.139787583E0,5.650749207E-1,3.376229095E0,9.116641846E0
4.149833583E0,5.625302124E-1,3.408861237E0,9.076076202E0
