"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.020309082E2,6.500031160E1,2.546798755E1,5.016389168E0,1.107297110E0,1.595263016E2,2.475088572E0,3.000000000E0
2.030308902E2,6.500030997E1,2.546797594E1,4.937194347E0,6.845654330E-1,1.772388821E2,2.465758511E0,3.000000000E0
2.040308725E2,6.500031059E1,2.546799180E1,5.001681875E0,4.024186398E-1,1.290763197E2,2.549335364E0,3.000000000E0
2.050308563E2,6.500029587E1,2.546800441E1,4.221419998E0,9.144560231E-1,1.362393134E2,2.556585151E0,3.000000000E0
2.060308414E2,6.500028866E1,2.546801426E1,4.004287342E0,1.017305998E0,1.367064158E2,2.598192760E0,3.000000000E0
2.070308255E2,6.500026537E1,2.546801023E1,3.617585307E0,1.402548822E0,1.575124592E2,2.797272831E0,3.000000000E0
2.080308115E2,6.500024934E1,2.546798346E1,3.816421887E0,1.424081842E0,1.815727201E2,2.896396074E0,3.000000000E0
2.090307974E2,6.500023888E1,2.546797034E1,3.752245188E0,1.316024600E0,1.916191432E2,2.924790452E0,3.000000000E0
2.100307853E2,6.500022138E1,2.546797127E1,3.513401151E0,1.447040410E0,1.883379026E2,3.290894983E0,3.000000000E0
2.110307734E2,6.500020788E1,2.546796631E1,3.525501644E0,1.247687143E0,1.927218421E2,3.490707173E0,3.000000000E0
2.120307609E2,6.500019594E1,2.546797125E1,3.559982385E0,1.106981127E0,1.858532546E2,3.513042287E0,3.000000000E0
2.130307504E2,6.500018140E1,2.546797852E1,3.841097604E0,1.193555309E0,1.823337629E2,3.563724696E0,3.000000000E0
2.140307400E2,6.500017087E1,2.546797788E1,3.885307308E0,9.711315647E-1,1.921891564E2,3.535549053E0,3.229799305E0
2.150307294E2,6.500015092E1,2.546798065E1,4.129334102E0,1.299695223E0,1.810624129E2,3.494459342E0,3.343163926E0
2.160307200E2,6.500013285E1,2.546797993E1,4.063655892E0,1.349795379E0,1.802092824E2,3.455545196E0,3.470955735E0
